ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
205232_s_at	3.80e-02	6.32e-03	-2.7423993	-2.80818	-0.13354042	PAFAH2	platelet activating factor acetylhydrolase 2
207816_at	3.80e-02	6.32e-03	2.7423912	-2.808202	0.49727208	LALBA	lactalbumin alpha
208629_s_at	3.80e-02	6.34e-03	2.7416423	-2.810179	0.13777392	HADHA	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit
212665_at	3.81e-02	6.36e-03	-2.7406687	-2.812748	-0.16473328	TIPARP	TCDD inducible poly(ADP-ribose) polymerase
214954_at	3.81e-02	6.36e-03	2.7404422	-2.813345	0.58734766	SUSD5	sushi domain containing 5
221206_at	3.81e-02	6.36e-03	-2.7404363	-2.813361	-0.28007297	PMS2CL///PMS2	PMS2 C-terminal like pseudogene///PMS1 homolog 2, mismatch repair system component
214201_x_at	3.81e-02	6.36e-03	2.7402704	-2.813799	0.24044335	PRRC2A	proline rich coiled-coil 2A
34697_at	3.81e-02	6.36e-03	2.7402486	-2.813856	0.23052928	LRP6	LDL receptor related protein 6
221798_x_at	3.82e-02	6.38e-03	-2.7393161	-2.816316	-0.15334106		
213821_s_at	3.82e-02	6.38e-03	-2.739173	-2.816693	-0.35751823	IDS	iduronate 2-sulfatase
208867_s_at	3.82e-02	6.39e-03	-2.739025	-2.817084	-0.29991038	CSNK1A1	casein kinase 1 alpha 1
219301_s_at	3.82e-02	6.39e-03	-2.7390088	-2.817126	-0.54187922	CNTNAP2	contactin associated protein-like 2
219178_at	3.83e-02	6.39e-03	2.7387449	-2.817822	0.30710689	QTRT2	queuine tRNA-ribosyltransferase accessory subunit 2
209943_at	3.83e-02	6.40e-03	2.7381292	-2.819445	0.37995404	FBXL4	F-box and leucine rich repeat protein 4
220253_s_at	3.83e-02	6.41e-03	2.7379691	-2.819867	0.61730954	LRP12	LDL receptor related protein 12
213572_s_at	3.83e-02	6.41e-03	-2.7376986	-2.82058	-0.24007264	SERPINB1	serpin family B member 1
209036_s_at	3.83e-02	6.41e-03	2.7375979	-2.820846	0.16774497	MDH2	malate dehydrogenase 2
202718_at	3.84e-02	6.42e-03	-2.7373575	-2.821479	-0.55818239	IGFBP2	insulin like growth factor binding protein 2
218537_at	3.84e-02	6.42e-03	-2.7372051	-2.821881	-0.30331493	HCFC1R1	host cell factor C1 regulator 1
204165_at	3.84e-02	6.43e-03	2.7369378	-2.822585	0.35032862	WASF1	WAS protein family member 1
221598_s_at	3.85e-02	6.44e-03	2.7363324	-2.82418	0.33019612	MED27	mediator complex subunit 27
211784_s_at	3.85e-02	6.44e-03	2.7360517	-2.82492	0.13995483	SRSF1	serine and arginine rich splicing factor 1
217084_at	3.85e-02	6.45e-03	2.7356278	-2.826036	0.46827214	IGHV3-23///IGHV4-31///IGHM///IGHG1///IGHA1	immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 1
202845_s_at	3.85e-02	6.46e-03	2.7352657	-2.82699	0.18022848	RALBP1	ralA binding protein 1
