ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
200934_at	1.34e-13	6.00e-18	8.9762575	29.944296	0.8508666	DEK	DEK proto-oncogene
201930_at	4.65e-12	4.18e-16	8.4201712	25.862808	0.74281754	MCM6	minichromosome maintenance complex component 6
219051_x_at	1.15e-11	1.86e-15	-8.218119	24.427485	-1.38753461	METRN	meteorin, glial cell differentiation regulator
205225_at	1.15e-11	2.06e-15	-8.2044436	24.331281	-1.90859257	ESR1	estrogen receptor 1
202107_s_at	1.23e-11	2.96e-15	8.1545046	23.980996	0.70298501	MCM2	minichromosome maintenance complex component 2
202413_s_at	1.23e-11	3.32e-15	8.1389422	23.872167	0.60698533	USP1	ubiquitin specific peptidase 1
212441_at	3.26e-11	1.02e-14	-7.9827341	22.788534	-0.49945356	KIAA0232	KIAA0232
204825_at	4.46e-11	1.60e-14	7.9204011	22.360596	1.08857531	MELK	maternal embryonic leucine zipper kinase
216092_s_at	5.17e-11	2.18e-14	-7.876777	22.062632	-0.76549807	SLC7A8	solute carrier family 7 member 8
200052_s_at	5.17e-11	2.42e-14	7.8621901	21.963281	0.65761997	ILF2	interleukin enhancer binding factor 2
201555_at	5.17e-11	2.79e-14	7.8421935	21.827317	0.46168564	MCM3	minichromosome maintenance complex component 3
205201_at	5.17e-11	2.80e-14	-7.8414739	21.822429	-0.66868463	GLI3	GLI family zinc finger 3
218211_s_at	5.17e-11	3.01e-14	-7.8311922	21.752629	-1.38337873	MLPH	melanophilin
220624_s_at	6.61e-11	4.15e-14	7.785847	21.445633	2.07519499	ELF5	E74 like ETS transcription factor 5
209644_x_at	9.55e-11	6.43e-14	7.7235498	21.026121	1.07304394	CDKN2A	cyclin dependent kinase inhibitor 2A
213033_s_at	1.01e-10	7.22e-14	7.7068826	20.914328	1.71942142	NFIB	nuclear factor I B
213029_at	1.03e-10	7.86e-14	7.6947397	20.832999	1.06253301	NFIB	nuclear factor I B
202412_s_at	1.74e-10	1.40e-13	7.6114813	20.278059	0.64889875	USP1	ubiquitin specific peptidase 1
209604_s_at	1.92e-10	1.64e-13	-7.5888105	20.127769	-1.52247203	GATA3	GATA binding protein 3
202911_at	2.52e-10	2.26e-13	7.5419853	19.81847	0.44316835	MSH6	mutS homolog 6
204667_at	2.69e-10	2.53e-13	-7.5256818	19.711132	-1.36051205	FOXA1	forkhead box A1
213032_at	2.89e-10	2.85e-13	7.5083673	19.597338	1.39574269	NFIB	nuclear factor I B
204822_at	3.85e-10	3.97e-13	7.4598754	19.279742	1.10147847	TTK	TTK protein kinase
214053_at	4.07e-10	4.38e-13	-7.4454176	19.185366	-0.86071757	ERBB4	erb-b2 receptor tyrosine kinase 4
203693_s_at	6.12e-10	6.95e-13	7.3774815	18.743842	0.90113569	E2F3	E2F transcription factor 3
218350_s_at	6.12e-10	7.14e-13	7.3733117	18.716847	0.62415176	GMNN	geminin, DNA replication inhibitor
203066_at	7.10e-10	8.60e-13	-7.3457475	18.538702	-0.80073059	CHST15	carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15
209290_s_at	7.20e-10	9.04e-13	7.3383948	18.491272	1.34452521	NFIB	nuclear factor I B
205347_s_at	7.76e-10	1.01e-12	7.3218582	18.384737	1.12724889	TMSB15B///TMSB15A	thymosin beta 15B///thymosin beta 15a
203963_at	9.95e-10	1.34e-12	-7.2797452	18.114297	-1.49602668	CA12	carbonic anhydrase 12
205074_at	1.27e-09	1.78e-12	-7.2368086	17.839853	-0.51356167	SLC22A5	solute carrier family 22 member 5
222125_s_at	1.27e-09	1.82e-12	-7.2337282	17.820214	-0.59419595	P4HTM	prolyl 4-hydroxylase, transmembrane
202589_at	1.45e-09	2.15e-12	7.2084874	17.659541	0.85874901	TYMS	thymidylate synthetase
214164_x_at	1.55e-09	2.36e-12	-7.1948073	17.572648	-1.4857689	CA12	carbonic anhydrase 12
202233_s_at	1.60e-09	2.52e-12	7.185113	17.511152	0.48971492	UQCRHL///UQCRH	ubiquinol-cytochrome c reductase hinge protein like///ubiquinol-cytochrome c reductase hinge protein
40093_at	1.91e-09	3.08e-12	-7.1544418	17.317028	-0.82978591	BCAM	basal cell adhesion molecule (Lutheran blood group)
209289_at	1.94e-09	3.22e-12	7.1477344	17.274664	1.18162406	NFIB	nuclear factor I B
208711_s_at	2.04e-09	3.47e-12	-7.1362448	17.202171	-1.13557593	CCND1	cyclin D1
215867_x_at	2.04e-09	3.57e-12	-7.132279	17.177172	-1.30583909	CA12	carbonic anhydrase 12
209669_s_at	2.16e-09	3.88e-12	7.1194684	17.096491	0.51755583	SERBP1	SERPINE1 mRNA binding protein 1
214431_at	2.21e-09	4.11e-12	7.1106824	17.041225	0.63237321	GMPS	guanine monophosphate synthase
207039_at	2.21e-09	4.16e-12	7.1087409	17.02902	0.85957818	CDKN2A	cyclin dependent kinase inhibitor 2A
210052_s_at	2.72e-09	5.26e-12	7.0731456	16.805732	0.743898	TPX2	TPX2, microtubule nucleation factor
209623_at	2.73e-09	5.39e-12	-7.0693809	16.782169	-0.64973963	MCCC2	methylcrotonoyl-CoA carboxylase 2
221864_at	2.91e-09	5.89e-12	-7.0558268	16.69742	-0.4482931	ORAI3	ORAI calcium release-activated calcium modulator 3
204962_s_at	2.94e-09	6.06e-12	7.0512629	16.668913	0.94154296	SLC35F6///CENPA	solute carrier family 35 member F6///centromere protein A
203702_s_at	3.01e-09	6.35e-12	7.0442998	16.625449	1.5269813	TTLL4	tubulin tyrosine ligase like 4
212099_at	3.01e-09	6.49e-12	-7.0408359	16.60384	-0.81663751	RHOB	ras homolog family member B
218164_at	3.70e-09	8.14e-12	-7.0060627	16.387393	-0.61818532	SPATA20	spermatogenesis associated 20
203226_s_at	3.94e-09	8.84e-12	-6.993308	16.30822	-0.40029594	TSPAN31	tetraspanin 31
212956_at	4.10e-09	9.38e-12	-6.9841755	16.251603	-1.51533676	TBC1D9	TBC1 domain family member 9
212330_at	4.21e-09	9.81e-12	6.9771821	16.208287	0.50515714	TFDP1	transcription factor Dp-1
200670_at	4.30e-09	1.02e-11	-6.9707213	16.168303	-1.03953221	XBP1	X-box binding protein 1
220865_s_at	5.26e-09	1.28e-11	6.9361361	15.954775	0.45043754	PDSS1	prenyl (decaprenyl) diphosphate synthase, subunit 1
206391_at	5.26e-09	1.32e-11	6.9317637	15.927842	2.09719699	RARRES1	retinoic acid receptor responder 1
221520_s_at	5.26e-09	1.32e-11	6.9310556	15.923481	1.28330892	CDCA8	cell division cycle associated 8
203428_s_at	5.35e-09	1.37e-11	6.9256122	15.889972	0.46406959	ASF1A	anti-silencing function 1A histone chaperone
204767_s_at	5.60e-09	1.46e-11	6.9157883	15.829553	0.64850091	FEN1	flap structure-specific endonuclease 1
203712_at	6.54e-09	1.73e-11	6.888948	15.664837	0.58139992	PUM3	pumilio RNA binding family member 3
220625_s_at	7.40e-09	1.99e-11	6.8671481	15.531439	1.64271103	ELF5	E74 like ETS transcription factor 5
208103_s_at	7.78e-09	2.16e-11	6.8547054	15.455454	1.08567777	ANP32E	acidic nuclear phosphoprotein 32 family member E
209205_s_at	7.78e-09	2.16e-11	6.8541399	15.452004	0.87146937	LMO4	LIM domain only 4
202134_s_at	7.82e-09	2.21e-11	6.8507497	15.431322	1.17514394	WWTR1	WW domain containing transcription regulator 1
201755_at	7.91e-09	2.30e-11	6.8449034	15.395676	1.36534113	MCM5	minichromosome maintenance complex component 5
203625_x_at	7.91e-09	2.31e-11	6.844097	15.390761	0.86420029	SKP2	S-phase kinase-associated protein 2, E3 ubiquitin protein ligase
212960_at	7.92e-09	2.35e-11	-6.8410177	15.371998	-0.86143687	TBC1D9	TBC1 domain family member 9
201970_s_at	7.92e-09	2.38e-11	6.8391402	15.360561	1.11993703	NASP	nuclear autoantigenic sperm protein
209421_at	8.17e-09	2.49e-11	6.8318659	15.316274	0.50297703	MSH2	mutS homolog 2
203144_s_at	8.40e-09	2.63e-11	-6.8235585	15.265745	-0.88755112	KIAA0040	KIAA0040
221505_at	8.40e-09	2.64e-11	6.8229662	15.262145	0.88299308	ANP32E	acidic nuclear phosphoprotein 32 family member E
209408_at	9.05e-09	2.88e-11	6.8090236	15.177459	0.58742112	KIF2C	kinesin family member 2C
210092_at	9.61e-09	3.11e-11	6.797371	15.106792	0.53055758	MAGOHB///MAGOH	mago homolog B, exon junction complex core component///mago homolog, exon junction complex core component
204023_at	9.72e-09	3.19e-11	6.7933467	15.08241	0.52113032	RFC4	replication factor C subunit 4
209173_at	1.09e-08	3.63e-11	-6.7725841	14.956804	-2.73881696	AGR2	anterior gradient 2, protein disulphide isomerase family member
214745_at	1.11e-08	3.79e-11	6.7660758	14.917497	0.7135402	PLCH1	phospholipase C eta 1
208451_s_at	1.11e-08	3.79e-11	-6.7657495	14.915527	-1.31513792	C4B_2///C4B///C4A	complement component 4B (Chido blood group), copy 2///complement component 4B (Chido blood group)///complement component 4A (Rodgers blood group)
222039_at	1.12e-08	3.87e-11	6.7625064	14.895952	0.69393906	KIF18B	kinesin family member 18B
208712_at	1.12e-08	3.91e-11	-6.761073	14.887303	-1.14329122	CCND1	cyclin D1
201663_s_at	1.12e-08	3.99e-11	6.7578341	14.867764	0.53446511	SMC4	structural maintenance of chromosomes 4
220425_x_at	1.24e-08	4.44e-11	6.7406173	14.764037	1.20962894	ROPN1B	rhophilin associated tail protein 1B
214428_x_at	1.31e-08	4.77e-11	-6.7293804	14.696455	-1.2407167	C4B_2///C4B///C4A	complement component 4B (Chido blood group), copy 2///complement component 4B (Chido blood group)///complement component 4A (Rodgers blood group)
202870_s_at	1.35e-08	4.99e-11	6.7223664	14.654318	0.99766622	CDC20	cell division cycle 20
204623_at	1.37e-08	5.10e-11	-6.7186645	14.632093	-1.80176803	TFF3	trefoil factor 3
218236_s_at	1.42e-08	5.37e-11	6.7106826	14.584207	0.81785355	PRKD3	protein kinase D3
208358_s_at	1.43e-08	5.45e-11	6.708262	14.569694	1.12573536	UGT8	UDP glycosyltransferase 8
209603_at	1.52e-08	5.87e-11	-6.6962262	14.497599	-1.53317926	GATA3	GATA binding protein 3
201897_s_at	1.54e-08	6.03e-11	6.6920476	14.472593	0.60241044	CKS1B	CDC28 protein kinase regulatory subunit 1B
219956_at	1.57e-08	6.22e-11	-6.6870635	14.442785	-0.94900029	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6
209114_at	1.57e-08	6.26e-11	-6.6860752	14.436876	-1.45274072	TSPAN1	tetraspanin 1
214440_at	1.58e-08	6.47e-11	-6.6806962	14.40473	-1.56367069	NAT1	N-acetyltransferase 1
214703_s_at	1.58e-08	6.51e-11	-6.6798338	14.399579	-0.49422922	MAN2B2	mannosidase alpha class 2B member 2
200804_at	1.58e-08	6.54e-11	-6.6791439	14.395458	-0.45822326	TMBIM6	transmembrane BAX inhibitor motif containing 6
202633_at	1.80e-08	7.53e-11	6.6564621	14.26017	0.39433417	TOPBP1	topoisomerase (DNA) II binding protein 1
214746_s_at	1.97e-08	8.31e-11	-6.640657	14.166125	-0.47063933	ZNF467	zinc finger protein 467
221677_s_at	2.06e-08	8.78e-11	6.6317989	14.113497	0.57162612	DONSON	downstream neighbor of SON
209056_s_at	2.29e-08	9.87e-11	6.6130144	14.002089	0.36650949	CDC5L	cell division cycle 5 like
210735_s_at	2.40e-08	1.05e-10	-6.6037408	13.947186	-1.05059315	CA12	carbonic anhydrase 12
206392_s_at	2.41e-08	1.07e-10	6.6004098	13.927481	2.10044983	RARRES1	retinoic acid receptor responder 1
211466_at	2.41e-08	1.07e-10	6.5998854	13.924379	1.39990729	NFIB	nuclear factor I B
215729_s_at	2.69e-08	1.22e-10	6.5792541	13.802523	2.27900452	VGLL1	vestigial like family member 1
213345_at	2.69e-08	1.22e-10	-6.5783705	13.797311	-0.89035363	NFATC4	nuclear factor of activated T-cells 4
214141_x_at	2.69e-08	1.23e-10	6.5774561	13.791918	0.34548611	SRSF7	serine and arginine rich splicing factor 7
203453_at	2.76e-08	1.28e-10	-6.5715431	13.75706	-1.61380019	SCNN1A	sodium channel epithelial 1 alpha subunit
202088_at	2.85e-08	1.33e-10	-6.5645206	13.715696	-1.20652447	SLC39A6	solute carrier family 39 member 6
212925_at	3.48e-08	1.64e-10	-6.5307299	13.517175	-0.8836637	MISP	mitotic spindle positioning
216237_s_at	3.76e-08	1.79e-10	6.5165617	13.434192	0.71562084	MCM5	minichromosome maintenance complex component 5
209122_at	3.79e-08	1.82e-10	6.5137973	13.418018	0.88376253	PLIN2	perilipin 2
222275_at	4.00e-08	1.94e-10	-6.5035662	13.358209	-0.64567706	MRPS30	mitochondrial ribosomal protein S30
208873_s_at	4.07e-08	1.99e-10	-6.499277	13.333159	-0.6152265	REEP5	receptor accessory protein 5
220295_x_at	4.56e-08	2.25e-10	6.4790751	13.215359	0.52070575	DEPDC1	DEP domain containing 1
204775_at	4.74e-08	2.36e-10	6.4712862	13.170023	1.2826506	CHAF1B	chromatin assembly factor 1 subunit B
209747_at	4.84e-08	2.43e-10	-6.4662059	13.140478	-0.51935105	TGFB3	transforming growth factor beta 3
206373_at	5.70e-08	2.89e-10	6.4380411	12.977032	1.62079324	ZIC1	Zic family member 1
209026_x_at	5.88e-08	3.01e-10	6.4314578	12.938914	0.44083634	TUBB	tubulin beta class I
211714_x_at	5.98e-08	3.09e-10	6.4270189	12.913231	0.4470733	TUBB	tubulin beta class I
204750_s_at	6.12e-08	3.19e-10	6.4218722	12.883472	1.18447917	DSC2	desmocollin 2
217725_x_at	6.34e-08	3.33e-10	6.4146438	12.841709	0.5049385	SERBP1	SERPINE1 mRNA binding protein 1
218976_at	6.65e-08	3.52e-10	-6.4052621	12.787564	-1.41360716	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12
201596_x_at	7.23e-08	3.86e-10	-6.3902007	12.70078	-0.83336257	KRT18	keratin 18
209449_at	7.36e-08	3.97e-10	6.3856818	12.674775	0.33655522	LSM2	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated
212586_at	7.80e-08	4.24e-10	-6.374803	12.612235	-0.54581488	CAST	calpastatin
222158_s_at	7.86e-08	4.31e-10	6.372054	12.596446	0.51021976	DESI2	desumoylating isopeptidase 2
203476_at	8.46e-08	4.67e-10	-6.3585147	12.518766	-0.73918851	TPBG	trophoblast glycoprotein
221830_at	8.97e-08	4.99e-10	6.3475479	12.455947	0.49917219	RAP2A	RAP2A, member of RAS oncogene family
204695_at	9.42e-08	5.29e-10	6.337891	12.400707	0.90475539	CDC25A	cell division cycle 25A
218692_at	9.42e-08	5.33e-10	-6.3365643	12.393124	-0.7604839	SYBU	syntabulin
201664_at	1.03e-07	5.89e-10	6.319887	12.29791	0.55934868	SMC4	structural maintenance of chromosomes 4
211931_s_at	1.06e-07	6.08e-10	6.3146873	12.268267	0.36228946	HNRNPA3///HNRNPA3P1	heterogeneous nuclear ribonucleoprotein A3///heterogeneous nuclear ribonucleoprotein A3 pseudogene 1
203303_at	1.06e-07	6.16e-10	-6.3124305	12.255408	-0.34900742	DYNLT3	dynein light chain Tctex-type 3
208808_s_at	1.07e-07	6.23e-10	6.3104368	12.244051	0.66174135	HMGB2	high mobility group box 2
211467_s_at	1.07e-07	6.26e-10	6.3095973	12.23927	1.04769239	NFIB	nuclear factor I B
201397_at	1.17e-07	6.91e-10	6.2930699	12.145251	0.77400877	PHGDH	phosphoglycerate dehydrogenase
221524_s_at	1.32e-07	7.89e-10	6.2707437	12.018576	1.2001272	RRAGD	Ras related GTP binding D
202035_s_at	1.32e-07	7.94e-10	6.2698465	12.013493	1.24393228	SFRP1	secreted frizzled related protein 1
209167_at	1.34e-07	8.13e-10	6.2657733	11.990427	1.52828868	GPM6B	glycoprotein M6B
202933_s_at	1.34e-07	8.16e-10	6.2650972	11.986599	0.72733023	YES1	YES proto-oncogene 1, Src family tyrosine kinase
202089_s_at	1.37e-07	8.41e-10	-6.260067	11.958133	-1.16859999	SLC39A6	solute carrier family 39 member 6
205240_at	1.37e-07	8.50e-10	6.25833	11.948308	1.27611784	GPSM2	G-protein signaling modulator 2
212274_at	1.39e-07	8.65e-10	6.2553204	11.931289	0.73601426	LPIN1	lipin 1
209680_s_at	1.40e-07	8.87e-10	6.2510741	11.90729	0.95192388	KIFC1	kinesin family member C1
202204_s_at	1.40e-07	8.88e-10	-6.2508861	11.906228	-0.42162354	AMFR	autocrine motility factor receptor
202097_at	1.45e-07	9.24e-10	6.2441842	11.868379	0.41367188	NUP153	nucleoporin 153
221934_s_at	1.45e-07	9.31e-10	-6.2429666	11.861506	-0.42588264	DALRD3	DALR anticodon binding domain containing 3
202752_x_at	1.45e-07	9.35e-10	-6.2422917	11.857697	-0.94900751	SLC7A8	solute carrier family 7 member 8
200718_s_at	1.47e-07	9.61e-10	-6.2375175	11.830763	-0.32729775	SKP1	S-phase kinase-associated protein 1
221046_s_at	1.47e-07	9.66e-10	6.2368084	11.826764	0.35327518	GTPBP8	GTP binding protein 8 (putative)
40016_g_at	1.59e-07	1.05e-09	-6.2230426	11.749208	-0.73085334	MAST4	microtubule associated serine/threonine kinase family member 4
218966_at	1.60e-07	1.06e-09	-6.220783	11.736491	-0.44811622	MYO5C	myosin VC
209642_at	1.68e-07	1.13e-09	6.2104251	11.678249	0.74340612	BUB1	BUB1 mitotic checkpoint serine/threonine kinase
207030_s_at	1.68e-07	1.13e-09	6.2102405	11.677212	1.24715626	CSRP2	cysteine and glycine rich protein 2
204508_s_at	1.72e-07	1.17e-09	-6.2045722	11.645375	-1.76311363	CA12	carbonic anhydrase 12
204540_at	1.94e-07	1.32e-09	-6.1832547	11.525863	-1.32440715	EEF1A2	eukaryotic translation elongation factor 1 alpha 2
206194_at	2.08e-07	1.43e-09	-6.1706017	11.455092	-0.48909521	HOXC4	homeobox C4
213134_x_at	2.10e-07	1.45e-09	6.1677787	11.43932	0.72228528	BTG3	BTG anti-proliferation factor 3
220239_at	2.14e-07	1.49e-09	6.1633178	11.414408	0.55268646	KLHL7	kelch like family member 7
201795_at	2.21e-07	1.55e-09	6.1568471	11.378301	0.74828513	LBR	lamin B receptor
205548_s_at	2.23e-07	1.57e-09	6.1544748	11.365071	0.66136111	BTG3	BTG anti-proliferation factor 3
217892_s_at	2.39e-07	1.70e-09	-6.1409037	11.289472	-0.43407755	LIMA1	LIM domain and actin binding 1
204768_s_at	2.45e-07	1.75e-09	6.135517	11.259504	0.46284962	FEN1	flap structure-specific endonuclease 1
205394_at	2.55e-07	1.83e-09	6.1279589	11.217494	0.5568157	CHEK1	checkpoint kinase 1
209204_at	2.57e-07	1.86e-09	6.1254371	11.203487	0.83973158	LMO4	LIM domain only 4
211712_s_at	2.74e-07	1.99e-09	-6.1135531	11.137545	-1.0624449	ANXA9	annexin A9
41660_at	3.00e-07	2.19e-09	-6.0970446	11.046125	-0.92457761	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1
203418_at	3.03e-07	2.23e-09	6.0940827	11.029745	0.60655119	CCNA2	cyclin A2
201938_at	3.06e-07	2.26e-09	6.0914901	11.015413	0.5690754	CDK2AP1	cyclin dependent kinase 2 associated protein 1
202037_s_at	3.13e-07	2.33e-09	6.0864128	10.98736	1.22350393	SFRP1	secreted frizzled related protein 1
210692_s_at	3.18e-07	2.40e-09	6.0815798	10.960676	0.75722444	SLC43A3	solute carrier family 43 member 3
213699_s_at	3.18e-07	2.40e-09	6.0810598	10.957806	0.37531542	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
200978_at	3.18e-07	2.41e-09	6.0807287	10.955979	0.30928528	MDH1	malate dehydrogenase 1
202932_at	3.26e-07	2.51e-09	6.0734009	10.91556	0.60277094	YES1	YES proto-oncogene 1, Src family tyrosine kinase
218483_s_at	3.26e-07	2.52e-09	-6.073087	10.913829	-0.33209431	IFT46	intraflagellar transport 46
200711_s_at	3.26e-07	2.52e-09	-6.0729908	10.913299	-0.39155463	SKP1	S-phase kinase-associated protein 1
205480_s_at	3.44e-07	2.67e-09	6.063074	10.858668	0.36322683	UGP2	UDP-glucose pyrophosphorylase 2
208941_s_at	3.52e-07	2.75e-09	6.0581691	10.831677	0.60015216	SEPHS1	selenophosphate synthetase 1
221872_at	3.54e-07	2.80e-09	6.0550289	10.814406	1.59073268	RARRES1	retinoic acid receptor responder 1
205009_at	3.54e-07	2.81e-09	-6.0540342	10.808936	-1.94962206	TFF1	trefoil factor 1
202263_at	3.54e-07	2.81e-09	-6.0539771	10.808622	-0.44665564	CYB5R1	cytochrome b5 reductase 1
218542_at	3.63e-07	2.90e-09	6.0489682	10.781094	0.94846615	CEP55	centrosomal protein 55
202690_s_at	3.75e-07	3.01e-09	6.0421224	10.743501	0.46502089	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide
201980_s_at	3.86e-07	3.12e-09	6.0361493	10.710731	0.57754967	RSU1	Ras suppressor protein 1
209358_at	4.22e-07	3.43e-09	6.019665	10.620436	0.42218762	TAF11	TATA-box binding protein associated factor 11
205044_at	4.23e-07	3.45e-09	6.0183861	10.61344	2.03326757	GABRP	gamma-aminobutyric acid type A receptor pi subunit
219498_s_at	4.26e-07	3.50e-09	6.0161031	10.600953	0.99250246	BCL11A	B-cell CLL/lymphoma 11A
201861_s_at	4.45e-07	3.68e-09	-6.0074464	10.553645	-0.42395506	LRRFIP1	LRR binding FLII interacting protein 1
221436_s_at	4.73e-07	3.93e-09	5.9960578	10.491495	0.98222229	CDCA3	cell division cycle associated 3
212371_at	4.97e-07	4.15e-09	5.9865447	10.439658	0.40947992	DESI2	desumoylating isopeptidase 2
211126_s_at	5.40e-07	4.53e-09	5.9711176	10.355746	0.82641818	CSRP2	cysteine and glycine rich protein 2
213260_at	5.40e-07	4.56e-09	5.9699478	10.349391	0.82061808	FOXC1	forkhead box C1
34408_at	5.49e-07	4.66e-09	-5.966204	10.329059	-0.54945493	RTN2	reticulon 2
209916_at	5.62e-07	4.79e-09	5.9611742	10.301761	0.61261106	DHTKD1	dehydrogenase E1 and transketolase domain containing 1
203438_at	5.79e-07	4.97e-09	-5.9549435	10.267972	-1.3152989	STC2	stanniocalcin 2
203773_x_at	5.91e-07	5.09e-09	-5.9506304	10.2446	-0.52537283	BLVRA	biliverdin reductase A
207507_s_at	5.94e-07	5.15e-09	5.9486584	10.233919	0.349445	ATP5G3	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 (subunit 9)
218877_s_at	5.94e-07	5.19e-09	5.9473926	10.227064	0.56143214	TRMT11	tRNA methyltransferase 11 homolog
213226_at	5.94e-07	5.21e-09	5.9465611	10.222562	0.77128639	CCNA2	cyclin A2
201037_at	5.94e-07	5.22e-09	5.9461001	10.220066	0.73623223	PFKP	phosphofructokinase, platelet
212638_s_at	5.97e-07	5.28e-09	-5.9442652	10.210135	-0.67305305	WWP1	WW domain containing E3 ubiquitin protein ligase 1
205862_at	6.09e-07	5.42e-09	-5.9397157	10.18552	-1.58214207	GREB1	growth regulation by estrogen in breast cancer 1
219212_at	6.09e-07	5.44e-09	5.9389968	10.181632	0.52732158	HSPA14	heat shock protein family A (Hsp70) member 14
214383_x_at	6.10e-07	5.48e-09	5.9375783	10.173961	0.32249403	KLHDC3	kelch domain containing 3
210024_s_at	6.10e-07	5.50e-09	5.9369709	10.170677	0.80023145	UBE2E3	ubiquitin conjugating enzyme E2 E3
218238_at	6.24e-07	5.66e-09	5.9320144	10.14389	0.50350419	GTPBP4	GTP binding protein 4
212492_s_at	6.65e-07	6.06e-09	-5.9200856	10.079501	-0.60976919	KDM4B	lysine demethylase 4B
215304_at	6.76e-07	6.19e-09	-5.9163461	10.059338	-0.93921879		
209791_at	6.86e-07	6.31e-09	5.912913	10.040838	0.73109151	PADI2	peptidyl arginine deiminase 2
218394_at	7.13e-07	6.59e-09	-5.9052301	9.999469	-0.44880319	ROGDI	rogdi homolog
210466_s_at	7.21e-07	6.69e-09	5.902414	9.984317	0.59901853	SERBP1	SERPINE1 mRNA binding protein 1
202705_at	7.33e-07	6.84e-09	5.8985056	9.963299	0.67756534	CCNB2	cyclin B2
218009_s_at	7.56e-07	7.09e-09	5.8922996	9.92995	0.70278067	PRC1	protein regulator of cytokinesis 1
202613_at	7.75e-07	7.30e-09	5.8870922	9.90199	0.47398677	CTPS1	CTP synthase 1
200790_at	7.90e-07	7.48e-09	5.8828241	9.87909	0.65042317	ODC1	ornithine decarboxylase 1
218313_s_at	7.90e-07	7.52e-09	-5.8818069	9.873634	-0.78877308	GALNT7	polypeptide N-acetylgalactosaminyltransferase 7
218738_s_at	8.14e-07	7.78e-09	5.8757671	9.841257	0.46165731	RNF138	ring finger protein 138
203143_s_at	8.27e-07	7.95e-09	-5.8720398	9.821291	-0.54000351	KIAA0040	KIAA0040
201360_at	8.27e-07	7.98e-09	-5.8712944	9.817299	-0.85105376	CST3	cystatin C
217762_s_at	8.77e-07	8.50e-09	-5.8600246	9.757002	-0.76153628	RAB31	RAB31, member RAS oncogene family
203571_s_at	9.05e-07	8.81e-09	-5.8536504	9.722943	-1.64114644	ADIRF	adipogenesis regulatory factor
206754_s_at	9.07e-07	8.87e-09	-5.8524291	9.716421	-1.61979666	CYP2B7P///CYP2B6	cytochrome P450 family 2 subfamily B member 7, pseudogene///cytochrome P450 family 2 subfamily B member 6
213523_at	9.65e-07	9.49e-09	5.8405458	9.653022	0.85947021	CCNE1	cyclin E1
212771_at	9.73e-07	9.60e-09	5.8383561	9.641352	0.77546521	FAM171A1	family with sequence similarity 171 member A1
215299_x_at	9.73e-07	9.65e-09	-5.8375738	9.637183	-0.5165351	SULT1A1	sulfotransferase family 1A member 1
203538_at	9.87e-07	9.84e-09	-5.8341089	9.618727	-0.39212779	CAMLG	calcium modulating ligand
200011_s_at	9.95e-07	9.95e-09	-5.8319865	9.607426	-0.30824622	ARF3	ADP ribosylation factor 3
206102_at	9.95e-07	1.00e-08	5.8311312	9.602873	0.60224504	GINS1	GINS complex subunit 1
217764_s_at	9.97e-07	1.01e-08	-5.8299265	9.596461	-0.64855644	RAB31	RAB31, member RAS oncogene family
200663_at	1.02e-06	1.04e-08	-5.824589	9.568066	-0.36742279	CD63	CD63 molecule
204600_at	1.08e-06	1.10e-08	5.8147658	9.515866	0.69156898	EPHB3	EPH receptor B3
205376_at	1.09e-06	1.11e-08	-5.8119221	9.500769	-0.84931538	INPP4B	inositol polyphosphate-4-phosphatase type II B
217834_s_at	1.12e-06	1.15e-08	5.8057306	9.467921	0.55813077	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein
221203_s_at	1.12e-06	1.16e-08	5.8053148	9.465717	0.4422841	YEATS2	YEATS domain containing 2
208627_s_at	1.19e-06	1.23e-08	5.7937033	9.4042	0.51973916	YBX1	Y-box binding protein 1
222201_s_at	1.19e-06	1.24e-08	5.7926257	9.398496	0.51712148	CASP8AP2	caspase 8 associated protein 2
214496_x_at	1.20e-06	1.25e-08	-5.7906376	9.387976	-0.39518056	KAT6B	lysine acetyltransferase 6B
205597_at	1.27e-06	1.34e-08	-5.7793252	9.328174	-1.17562364	SLC44A4	solute carrier family 44 member 4
218726_at	1.30e-06	1.37e-08	5.7753054	9.306948	0.7641905	HJURP	Holliday junction recognition protein
202036_s_at	1.32e-06	1.40e-08	5.7711727	9.28514	1.48692946	SFRP1	secreted frizzled related protein 1
209686_at	1.35e-06	1.44e-08	5.766219	9.259016	1.16062472	S100B	S100 calcium binding protein B
211042_x_at	1.35e-06	1.45e-08	5.7640721	9.247701	0.51258821	MIR6756///MCAM	microRNA 6756///melanoma cell adhesion molecule
204304_s_at	1.35e-06	1.46e-08	5.7636756	9.245611	1.34678725	PROM1	prominin 1
209602_s_at	1.35e-06	1.46e-08	-5.763566	9.245033	-1.44084116	GATA3	GATA binding protein 3
